C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29
CAGL0A03102g	ARO10	Ortholog(s) have carboxy-lyase activity, phenylpyruvate decarboxylase activity	2.128	8.828e-06	0.391	1.379e-01	0.315	5.654e-02	-0.784	8.072e-03	2.43	0.44	0.61	-1.479	1	0	0	0	ARO10	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0A03102g	OFF	UP	0	0	0
CAGL0B01122g	SAM1	S-adenosylmethionine synthetase	-1.32	9.273e-05	-1.081	8.275e-04	-0.37	1.782e-02	-1.225	4.542e-04	-1.598	-1.494	-1.083	-2.251	0	0	0	-1	SAM1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0B01122g	Type II	DOWN	0	0	DOWN
CAGL0B02717g		Ortholog(s) have role in acetate catabolic process, carbon utilization and cytoplasm, extracellular region, nucleus localization	-0.358	4.576e-02	-0.866	1.252e-03	-0.571	1.920e-03	-1.683	1.845e-04	-0.475	-1.212	-1.578	-3.052	0	0	0	-1		IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0B02717g	OFF	0	0	DOWN	DOWN
CAGL0C02035g		Ortholog(s) have metallodipeptidase activity, omega peptidase activity, role in glutathione catabolic process and cytoplasm, fungal biofilm matrix localization	-1.694	1.528e-05	-1.712	1.025e-05	-0.261	7.261e-02	-0.406	1.104e-01	-2.035	-2.324	-0.812	-0.818	-1	-1	0	0	DUG1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0C02035g	OFF	DOWN	DOWN	0	0
CAGL0C03630g		Ortholog(s) have diphosphomevalonate decarboxylase activity and role in isopentenyl diphosphate biosynthetic process, mevalonate pathway, sterol biosynthetic process	-0.813	2.342e-03	-0.779	1.527e-02	-0.922	2.853e-04	-0.746	5.294e-03	-1.007	-1.097	-2.447	-1.414	0	0	-1	0	MVD1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0C03630g	OFF	0	0	DOWN	0
CAGL0D05280g		Ortholog(s) have sulfite reductase (NADPH) activity, role in sulfate assimilation and sulfite reductase complex (NADPH) localization	0.952	9.060e-03	1.535	2.599e-02	0.532	1.530e-03	1.286	3.418e-02	1.056	1.945	1.148	2.141	0	0	0	1	MET10	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0D05280g	NO	0	0	0	0
CAGL0D06402g	MET15	O-acetyl homoserine sulfhydrylase (OAHSH), ortholog of S. cerevisiae MET17; required for utilization of inorganic sulfate as sulfur source; able to utilize cystine as a sulfur source while S. cerevisiae met15 mutants are unable to do so	2.322	1.639e-04	2.372	3.784e-06	0.205	1.453e-01	1.739	1.059e-04	2.655	3.045	0.338	2.934	1	1	0	1	MET17	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0D06402g	Type II	UP	UP	0	UP
CAGL0E01287g		Ortholog(s) have role in 2-oxoglutarate metabolic process, mitochondrial genome maintenance and mitochondrial nucleoid, mitochondrial oxoglutarate dehydrogenase complex localization	-0.958	4.245e-04	-1.144	5.923e-04	0.627	1.114e-03	1.245	4.032e-04	-1.176	-1.577	1.381	2.07	0	0	0	1	KGD2	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0E01287g	Type I	0	DOWN	0	UP
CAGL0F03861g		Ortholog(s) have mevalonate kinase activity and role in ergosterol biosynthetic process, farnesyl diphosphate biosynthetic process, mevalonate pathway, isopentenyl diphosphate biosynthetic process, mevalonate pathway	-0.213	1.774e-01	-0.427	5.813e-02	-0.771	1.807e-04	-1.357	2.112e-04	-0.306	-0.635	-2.072	-2.483	0	0	-1	-1	ERG12	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0F03861g	OFF	0	0	DOWN	DOWN
CAGL0F03993g	ERG8	Ortholog(s) have phosphomevalonate kinase activity	-0.499	2.875e-02	-0.808	2.892e-03	-0.667	2.448e-04	-1.128	4.482e-04	-0.64	-1.136	-1.816	-2.082	0	0	0	-1	ERG8	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0F03993g	OFF	0	0	DOWN	DOWN
CAGL0F07029g	MET13	Ortholog(s) have methylenetetrahydrofolate reductase (NAD(P)H) activity and role in methionine biosynthetic process, one-carbon metabolic process	1.959	7.071e-04	3.088	7.951e-07	0.541	2.576e-02	0.29	2.118e-01	2.232	3.986	1.168	0.398	1	1	0	0	MET13	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0F07029g	OFF	UP	UP	0	0
CAGL0G03905g		Ortholog(s) have 2 iron, 2 sulfur cluster binding, iron ion binding, iron-sulfur cluster binding, iron-sulfur transferase activity	-1.44	6.005e-04	-2.112	3.298e-06	-0.057	8.185e-01	0.38	6.160e-02	-1.739	-2.85	-0.308	0.555	0	-1	0	0	ISA1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0G03905g	OFF	DOWN	DOWN	0	0
CAGL0I01276g		Ortholog(s) have cytoplasm, nucleus localization	1.134	3.962e-02	1.851	3.739e-05	0.01	9.782e-01	1.754	8.751e-05	1.268	2.359	-0.142	2.96	0	1	0	1	YHR112C	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0I01276g	Type II	0	UP	0	UP
CAGL0I04994g	MET6	5-methyltetrahydropteroyltriglutamate homocysteine methyltransferase; protein abundance increased in ace2 mutant cells	2.019	8.061e-04	3.164	3.943e-06	0.051	8.327e-01	-0.387	2.839e-01	2.302	4.085	-0.041	-0.785	1	1	0	0	MET6	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0I04994g	OFF	UP	UP	0	0
CAGL0I08503g		Ortholog(s) have phosphoadenylyl-sulfate reductase (thioredoxin) activity	-0.365	3.253e-02	-0.036	9.263e-01	-0.121	4.620e-01	1.341	1.026e-03	-0.483	-0.121	-0.467	2.238	0	0	0	1	MET16	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0I08503g	OFF	0	0	0	UP
CAGL0J00649g		Ortholog(s) have homoserine kinase activity and role in homoserine metabolic process, threonine biosynthetic process	-1.083	1.824e-04	-1.419	4.377e-04	0.059	6.029e-01	-1.133	1.982e-03	-1.322	-1.938	-0.022	-2.09	0	0	0	-1	THR1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0J00649g	Type II	0	DOWN	0	DOWN
CAGL0J02112g		Ortholog(s) have 4 iron, 4 sulfur cluster binding, ATPase activity, role in iron-sulfur cluster assembly, tRNA wobble uridine modification and Nbp35-Cfd1 ATPase complex, cytoplasm localization	0.592	7.954e-04	1.645	3.404e-05	-0.429	2.298e-03	-0.57	1.925e-02	0.635	2.089	-1.228	-1.105	0	1	0	0	CFD1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0J02112g	OFF	0	UP	0	0
CAGL0J04268g		Ortholog(s) have CoA-transferase activity, acetate CoA-transferase activity, hydrolase activity, acting on ester bonds activity, role in propionate metabolic process, methylcitrate cycle and mitochondrion localization	1.82	1.565e-04	0.019	9.549e-01	0.802	2.432e-03	1.214	1.801e-03	2.07	-0.048	1.815	2.015	1	0	0	1		IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0J04268g	Type II	UP	0	UP	UP
CAGL0K06677g	MET8	Putative bifunctional dehydrogenase and ferrochelatase; gene is upregulated in azole-resistant strain	0.666	9.674e-03	1.782	2.339e-05	0.914	6.059e-04	1.279	2.464e-04	0.721	2.268	2.09	2.129	0	1	1	1	MET8	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0K06677g	Type II	0	UP	UP	UP
CAGL0L00649g		Acetyl-coenzyme A synthetase	1.614	1.220e-04	0.911	1.938e-03	1.48	2.865e-05	0.241	3.069e-01	1.828	1.124	3.489	0.313	0	0	1	0	ACS1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0L00649g	Type II	UP	0	UP	0
CAGL0L02321g		Ortholog(s) have adenylylsulfate kinase activity and role in sulfate assimilation, sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin), sulfur amino acid metabolic process	-0.264	1.299e-01	0.739	8.774e-02	0.099	5.288e-01	1.847	7.287e-04	-0.365	0.898	0.078	3.122	0	0	0	1	MET14	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0L02321g	OFF	0	0	0	UP
CAGL0L06094g	STR3	Putative cystathionine beta-lyase; gene is upregulated in azole-resistant strain	1.664	1.115e-01	4.123	1.334e-07	1.437	1.069e-02	0.06	8.352e-01	1.887	5.346	3.384	-0.004	0	1	1	0	STR3	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0L06094g	OFF	0	UP	0	0
