Row.names	C1	P.Val1	C2	P.Val2	C3	P.Val3	C4	P.Val4	C5	P.Val5	Feature name (mandatory); this is the primary systematic name, if available	Gene name (locus name)	Primary CGDID	Description	Name of S. cerevisiae ortholog(s) (multiples separated by |)
CAGL0A00165g	CAGL0A00165g	0.562	0.0072259898944785	0.8905	0.00421652544562908	0.152166666666667	0.170472696268187	0.4245	0.135388736976655	-0.211666666666667	0.46027450842412	CAGL0A00165g		CAL0126541	Protein of unknown function	
CAGL0A00187g	CAGL0A00187g	0.5595	0.00304217870870537	0.641833333333333	0.00634120945786645	0.114666666666667	0.242658162990149	0.851666666666667	0.00322678000096873	-0.0740000000000001	0.729152533258377	CAGL0A00187g		CAL0126653	Has domain(s) with predicted metal ion binding activity	PIB2
CAGL0A00209g	CAGL0A00209g	0.0593333333333333	0.692834045325115	-0.69625	0.0416975285078478	0.255833333333333	0.0676756279043455	0.258166666666667	0.430023042572479	-0.036	0.938494782308476	CAGL0A00209g		CAL0126795	Ortholog(s) have dolichyl-diphosphooligosaccharide-protein glycotransferase activity, role in protein N-linked glycosylation and oligosaccharyltransferase complex, plasma membrane localization	STT3
CAGL0A00231g	CAGL0A00231g	0.084	0.575065023570643	-0.15125	0.420840211945449	-0.174833333333333	0.228236144040201	0.393166666666667	0.0606602924765755	-0.004	0.989953539590809	CAGL0A00231g		CAL0126647	Ortholog(s) have protein kinase activity and role in protein phosphorylation	ALK1
CAGL0A00253g	CAGL0A00253g	-0.997	0.000204371017632388	-0.508333333333333	0.0319232122196524	-0.442	0.00734545845502147	-0.373833333333333	0.163584537811387	0.189166666666667	0.466839504209269	CAGL0A00253g		CAL0126877	Ortholog(s) have protein membrane anchor activity, role in protein insertion into ER membrane, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum and GET complex localization	GET1
CAGL0A00275g	CAGL0A00275g	-0.283	0.130701606467402	-0.337666666666667	0.101661289309746	0.0801666666666666	0.63771319261268	-0.0195	0.944400825797855	0.0458333333333334	0.883736283559614	CAGL0A00275g		CAL0126623	Ortholog(s) have protein kinase regulator activity, protein serine/threonine kinase inhibitor activity	CKB1
CAGL0A00297g	CAGL0A00297g	-0.810833333333333	0.000440224941955352	-0.0267500000000001	0.920885833853712	-0.0814999999999999	0.486326139818904	0.0685	0.801162034066874	0.102666666666667	0.706620258906138	CAGL0A00297g		CAL0126591	Ortholog(s) have ATPase activator activity, chaperone binding activity	JAC1
CAGL0A00319g	CAGL0A00319g	-0.274333333333333	0.0640091526517395	0.14475	0.470809706236931	0.0198333333333333	0.872460093279625	-0.157833333333333	0.444596027155125	-0.285166666666667	0.164425431536952	CAGL0A00319g		CAL0126655	Ortholog(s) have arginyltransferase activity and role in protein arginylation	ATE1
CAGL0A00341g	CAGL0A00341g	0.877	0.00273247820621063	-0.1405	0.540361973832077	0.365333333333334	0.0165056828898027	0.100833333333333	0.698347304587875	-0.718	0.0172715643242276	CAGL0A00341g		CAL0126869	Ortholog(s) have fatty acid alpha-oxygenase activity and role in fatty acid alpha-oxidation, sphingoid catabolic process	MPO1
CAGL0A00363g	CAGL0A00363g	-1.02733333333333	6.85723200606276e-05	1.52491666666667	0.000368987002687408	-0.300333333333333	0.0168525890856133	0.801333333333334	0.0285511705461132	-0.0808333333333333	0.789608358441218	CAGL0A00363g		CAL0126799	Ortholog(s) have 3-isopropylmalate dehydratase activity, role in leucine biosynthetic process and cytoplasmic stress granule, cytosol localization	LEU1
