! File name: C_glabrata_CBS138_version_s02-m07-r42_chromosomal_feature.tab
! Organism: Candida glabrata CBS138
! Genome version: s02-m07-r42
! Date created: Sun Sep  1 07:09:06 2019
! Created by: The Candida Genome Database (http://www.candidagenome.org/)
! Contact Email: candida-curator AT lists DOT stanford DOT edu
! Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
!
CAGL0A00105g		CAGL0A00110g.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	2636	1608	C	CAL0000210339		Protein of unknown function	2015-04-13	2015-04-13				N	
CAGL0A00110g	EPA19	CAGL-IPF16553|CAGL-IPF9521|CAGL0A00121g	pseudogene	ChrA_C_glabrata_CBS138	4809	1608	C	CAL0126645		Putative adhesin-like protein; belongs to adhesin cluster I; appears artificially broken into fragments due to sequencing errors; predicted GPI anchor	2010-10-20	2010-10-20				N	
CAGL0A00116g		CAGL0A00110g.2	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	4809	2671	C	CAL0000209742		Protein of unknown function	2015-04-13	2015-04-13				N	
CAGL0A00132g		Novel_proteincoding2	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	11739	12689	W	CAL0000204452		Protein of unknown function	2015-04-13	2015-04-13				N	
CAGL0A00154g		Novel_proteincoding3	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	15012	15233	W	CAL0000211559		Protein of unknown function	2015-04-13	2015-04-13				N	
CAGL0A00165g		CAGL-IPF3306|CAGL-CDS3760.1|CAG57670.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	18876	18037	C	CAL0126541		Protein of unknown function	2010-10-20	2010-10-20				N	
CAGL0A00187g		CAGL-IPF3307|CAGL-CDS0920.1|CAG57671.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	21757	19487	C	CAL0126653		Has domain(s) with predicted metal ion binding activity	2010-10-20	2010-10-20				N	PIB2
CAGL0A00209g		CAGL-IPF3308|CAGL-CDS1000.1|CAG57672.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	22260	24440	W	CAL0126795		Ortholog(s) have dolichyl-diphosphooligosaccharide-protein glycotransferase activity, role in protein N-linked glycosylation and oligosaccharyltransferase complex, plasma membrane localization	2010-10-20	2010-10-20				N	STT3
CAGL0A00231g		CAGL-IPF3311|CAGL-CDS0831.1|CAG57673.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	25241	27622	W	CAL0126647		Ortholog(s) have protein kinase activity and role in protein phosphorylation	2010-10-20	2010-10-20				N	ALK1
CAGL0A00253g		CAGL-IPF3312|CAGL-CDS4223.1|CAG57674.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	28586	27915	C	CAL0126877		Ortholog(s) have protein membrane anchor activity, role in protein insertion into ER membrane, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum and GET complex localization	2010-10-20	2010-10-20				N	GET1
CAGL0A00275g		CAGL-IPF3313|CAGL-CDS3855.1|CAG57675.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	29069	29869	W	CAL0126623		Ortholog(s) have protein kinase regulator activity, protein serine/threonine kinase inhibitor activity	2010-10-20	2010-10-20				N	CKB1
CAGL0A00297g		CAGL-IPF3314|CAGL-CDS4457.1|CAG57676.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	30775	30179	C	CAL0126591		Ortholog(s) have ATPase activator activity, chaperone binding activity	2010-10-20	2010-10-20				N	JAC1
CAGL0A00319g		CAGL-IPF3315|CAGL-CDS2015.1|CAG57677.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	30978	32507	W	CAL0126655		Ortholog(s) have arginyltransferase activity and role in protein arginylation	2010-10-20	2010-10-20				N	ATE1
CAGL0A00341g		CAGL-IPF3316|CAGL-CDS4533.1|CAG57678.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	33056	33625	W	CAL0126869		Ortholog(s) have fatty acid alpha-oxygenase activity and role in fatty acid alpha-oxidation, sphingoid catabolic process	2010-10-20	2010-10-20				N	MPO1
CAGL0A00363g		CAGL-IPF3317|CAGL-CDS0848.1|CAG57679.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	36349	33995	C	CAL0126799		Ortholog(s) have 3-isopropylmalate dehydratase activity, role in leucine biosynthetic process and cytoplasmic stress granule, cytosol localization	2010-10-20	2010-10-20				N	LEU1
CAGL0A00385g		CAGL-IPF3319|CAGL-CDS0356.1|CAG57680.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	40371	37162	C	CAL0126707		Ortholog(s) have nuclear import signal receptor activity, role in protein import into nucleus and cytoplasm, nucleus localization	2010-10-20	2010-10-20				N	KAP122
CAGL0A00407g	SCL1	CAGL-IPF3321|CAGL-CDS3967.1|CAG57681.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	41556	42320	W	CAL0126727		Alpha 1 subunit of the 20S proteasome	2010-10-20	2010-10-20				N	SCL1
CAGL0A00429g	ERG4	CAGL-IPF3323|CAGL-CDS2293.1|CAG57682.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	44030	42636	C	CAL0126621		Putative C24 sterol reductase	2010-10-20	2010-10-20				N	ERG4
CAGL0A00451g	PDR1	CAGL-IPF3325|CAGL-CDS0315.1|CAG57683.1|ZCF1	ORF|Verified	ChrA_C_glabrata_CBS138	47557	50880	W	CAL0126583		Zinc finger transcription factor, activator of drug resistance genes via pleiotropic drug response elements (PDRE); regulates drug efflux pumps and controls multi-drug resistance; gene upregulated and/or mutated in azole-resistant strains	2010-10-20	2010-10-20				N	PDR1
CAGL0A00473g		CAGL-IPF3326|CAGL-CDS0843.1|CAG57684.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	53497	51137	C	CAL0126703		Ortholog(s) have mRNA binding activity	2010-10-20	2010-10-20				N	PUF4
CAGL0A00495g	PMA1	CAGL-IPF3328|CAGL-CDS0596.1|CAG57685.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	57722	55014	C	CAL0126953		Putative plasma membrane proton pump with a predicted role in pH homeostasis	2010-10-20	2010-10-20				N	PMA1
CAGL0A00517g		CAGL-IPF3337|CAGL-CDS0297.1|CAG57686.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	58830	62198	W	CAL0126587		Ortholog(s) have calcium transmembrane transporter activity, phosphorylative mechanism activity and role in calcium ion transport, cellular calcium ion homeostasis, cellular response to drug, pathogenesis, transmembrane transport	2010-10-20	2010-10-20				N	PMC1
CAGL0A00539g		CAGL-IPF3338|CAGL-CDS3835.1|CAG57687.1	ORF|Uncharacterized	ChrA_C_glabrata_CBS138	63225	62416	C	CAL0126913		Ortholog(s) have role in intra-Golgi vesicle-mediated transport, protein localization by the Cvt pathway and Golgi transport complex localization	2010-10-20	2010-10-20				N	COG7
