C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29
CAGL0A00979g		Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, yeast-form cell wall localization	-1.78e+00	4.28e-05	-1.38e+00	7.33e-05	-1.83e-01	1.97e-01	-7.36e-01	6.21e-03	-2.13e+00	-1.88e+00	-6.21e-01	-1.40e+00	-1	0	0	0	RPL38	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A00979g	OFF	DOWN	DOWN	0	0
CAGL0A02002g		Ortholog of S. cerevisiae : YOL024W and Saccharomyces cerevisiae S288C : YOL024W	3.18e+00	1.13e-04	1.65e+00	1.28e-03	-3.54e-01	1.70e-01	-7.34e-01	5.94e-02	3.66e+00	2.10e+00	-1.04e+00	-1.39e+00	1	1	0	0	YOL024W	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A02002g	OFF	UP	UP	0	0
CAGL0A02112g		Ortholog(s) have asparagine-tRNA ligase activity and role in asparaginyl-tRNA aminoacylation	-1.67e+00	4.44e-05	-1.37e+00	2.28e-04	-3.08e-01	1.80e-02	-5.58e-01	2.69e-02	-2.01e+00	-1.87e+00	-9.29e-01	-1.09e+00	-1	0	0	0	DED81	METABOLISM	PROTEIN SYNTHESIS	F1	CAGL0A02112g	OFF	DOWN	DOWN	0	0
CAGL0A04015g		Ortholog(s) have role in rRNA processing and box C/D snoRNP complex, nucleolus, small-subunit processome localization	-1.69e+00	1.17e-04	-1.13e+00	4.34e-03	-1.63e-01	2.75e-01	-1.24e-01	6.47e-01	-2.03e+00	-1.56e+00	-5.71e-01	-3.25e-01	-1	0	0	0	NOP56	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A04015g	OFF	DOWN	DOWN	0	0
CAGL0A04653g		Ortholog(s) have glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity, role in glutaminyl-tRNAGln biosynthesis via transamidation, mitochondrial translation and glutamyl-tRNA(Gln) amidotransferase complex, mitochondrion localization	-1.02e-01	3.60e-01	1.33e-01	5.61e-01	3.60e-01	9.52e-03	1.69e+00	2.14e-04	-1.76e-01	1.02e-01	7.22e-01	2.84e+00	0	0	0	1	PET112	METABOLISM	MITOCHONDRIAL BIOGENESIS	F1	CAGL0A04653g	OFF	0	0	0	UP
CAGL0A04829g		Putative hexokinase isoenzyme 2; protein differentially expressed in azole resistant strain	1.92e+00	4.23e-03	9.51e-01	1.98e-03	-1.11e-01	6.80e-01	1.22e+00	4.54e-04	2.19e+00	1.18e+00	-4.41e-01	2.02e+00	1	0	0	1	HXK1	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A04829g	Type II	UP	0	0	UP
CAGL0B00286g		Ortholog(s) have L-serine ammonia-lyase activity, L-threonine ammonia-lyase activity, role in L-serine catabolic process, threonine catabolic process and mitochondrial nucleoid localization	-6.41e-01	4.58e-02	-1.50e+00	2.43e-05	1.33e-03	9.93e-01	-4.16e-01	7.43e-02	-8.06e-01	-2.05e+00	-1.64e-01	-8.36e-01	0	-1	0	0	CHA1	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B00286g	OFF	0	DOWN	0	0
CAGL0B00792g		Ortholog(s) have RNA binding activity, role in regulation of translation and cytoplasmic stress granule, polysome localization	-1.40e+00	3.68e-04	-1.39e+00	9.92e-05	1.35e-01	5.14e-01	-1.09e+00	1.36e-03	-1.69e+00	-1.90e+00	1.65e-01	-2.02e+00	0	0	0	-1	SRO9	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0B00792g	Type II	DOWN	DOWN	0	DOWN
CAGL0B01507g	ARG8	Ortholog(s) have N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity, role in arginine biosynthetic process, arginine biosynthetic process via ornithine, ornithine biosynthetic process and mitochondrial matrix localization	-2.71e+00	9.37e-05	-1.63e+00	1.75e-05	4.90e-01	1.62e-01	2.08e-01	3.67e-01	-3.22e+00	-2.21e+00	1.04e+00	2.55e-01	-1	-1	0	0	ARG8	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B01507g	OFF	DOWN	DOWN	0	0
CAGL0B01727g		Ortholog(s) have D-ribulokinase activity and role in pentose metabolic process	2.29e+00	2.34e-06	2.74e+00	5.26e-07	-1.54e-01	2.85e-01	3.44e-01	1.17e-01	2.61e+00	3.53e+00	-5.48e-01	4.93e-01	1	1	0	0	YDR109C	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0B01727g	OFF	UP	UP	0	0
