C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29
CAGL0A00737g		Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	2.027	3.967e-04	0.979	7.715e-04	0.612	2.786e-02	0.235	4.082e-01	2.311	1.214	1.343	0.303	1	0	0	0		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A00737g	OFF	UP	0	0	0
CAGL0A01199g	DIP5	Putative dicarboxylic amino acid permease	0.413	8.233e-02	1.824	2.574e-04	-1.346	1.259e-04	-0.085	8.067e-01	0.426	2.324	-3.494	-0.258	0	1	-1	0	DIP5	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01199g	Type I	0	UP	DOWN	0
CAGL0A01221g		Has domain(s) with predicted channel activity, role in transmembrane transport and membrane localization	-1.451	5.410e-05	-3.321	1.012e-06	-0.502	2.144e-02	0.229	5.681e-01	-1.752	-4.438	-1.409	0.293	0	-1	0	0		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01221g	OFF	DOWN	DOWN	0	0
CAGL0A01243g	GIT1	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, integral component of plasma membrane localization	1.043	4.107e-05	0.948	6.218e-04	0.731	4.368e-04	3.665	1.057e-06	1.162	1.172	1.639	6.303	0	0	0	1		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01243g	OFF	0	0	UP	UP
CAGL0A01782g	HXT4	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity and plasma membrane localization	1.846	8.803e-04	1.296	7.458e-03	0.568	4.057e-03	0.246	5.639e-01	2.099	1.631	1.235	0.321	1	0	0	0	HXT4	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01782g	OFF	UP	UP	0	0
CAGL0A01826g	HXT5	Ortholog(s) have glucose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	1.948	1.691e-05	2.751	9.796e-07	0.395	7.096e-02	0.272	2.014e-01	2.219	3.543	0.807	0.366	1	1	0	0	HXT3	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01826g	OFF	UP	UP	0	0
CAGL0A02211g	HXT6/7	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	2.03	1.541e-03	1.405	7.802e-04	-0.03	8.718e-01	0.743	3.059e-02	2.315	1.774	-0.241	1.191	1	0	0	0	HXT7	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02211g	OFF	UP	UP	0	0
CAGL0A02233g	HXT4/6/7	Ortholog(s) have glucose transmembrane transporter activity and membrane, plasma membrane localization	2.278	6.916e-04	1.512	3.526e-04	0.003	9.885e-01	0.74	1.862e-02	2.604	1.914	-0.16	1.185	1	0	0	0	HXT6	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02233g	OFF	UP	UP	0	0
CAGL0A03476g	SMF3	Ortholog(s) have role in cellular iron ion homeostasis, iron ion transport and fungal-type vacuole membrane, plasma membrane localization	1.167	7.523e-04	1.615	4.422e-05	-0.274	4.198e-02	0.254	3.239e-01	1.306	2.049	-0.845	0.336	0	1	0	0	SMF3	TRANSPORT / TRAFFICKING	VACUOLAR MEMBRANE	F4	CAGL0A03476g	OFF	0	UP	0	0
CAGL0B00814g		Ortholog(s) have role in actin cortical patch localization, actin cytoskeleton organization, actin filament organization, endocytosis and actin cortical patch, cell cortex, cytoplasm localization	1.95	2.266e-05	1.298	2.041e-04	0.078	6.095e-01	0.333	1.285e-01	2.221	1.633	0.024	0.474	1	0	0	0	LSB5	TRANSPORT / TRAFFICKING	INTRACELLULAR TRANSPORT	F4	CAGL0B00814g	OFF	UP	UP	0	0
CAGL0B01012g		Ortholog(s) have L-proline transmembrane transporter activity, amino acid transmembrane transporter activity, role in amino acid transport, transmembrane transport and plasma membrane localization	0.816	5.588e-02	0.679	1.122e-01	-1.707	2.474e-03	-0.244	5.910e-01	0.897	0.819	-4.386	-0.535	0	0	-1	0	AGP1	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B01012g	OFF	0	0	DOWN	0
CAGL0B01639g		Ortholog(s) have guanyl-nucleotide exchange factor activity and role in retrograde transport, endosome to Golgi	0.001	9.952e-01	0.052	8.456e-01	0.419	2.429e-02	1.294	1.103e-03	-0.055	-0.006	0.867	2.155	0	0	0	1	RGP1	TRANSPORT / TRAFFICKING	ER/GOLGI TRANSPORT SYSTEM	F4	CAGL0B01639g	OFF	0	0	0	UP
CAGL0B02838g	MUP1	Protein of unknown function	2.149	3.501e-05	1.768	1.320e-04	0.628	1.032e-02	1.008	1.512e-02	2.453	2.25	1.384	1.655	1	1	0	0		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B02838g	OFF	UP	UP	0	0
CAGL0B04433g		Has domain(s) with predicted nucleobase transmembrane transporter activity, transmembrane transporter activity, role in nucleobase transport, transmembrane transport and membrane localization	-0.761	4.497e-03	-0.329	2.436e-01	0.62	3.408e-03	1.845	1.711e-04	-0.945	-0.506	1.364	3.119	0	0	0	1		TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B04433g	OFF	0	0	0	UP
